system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,2022LC,2016LC,.geo
515,"59.68142, 10.51439",59.68142,10.51439,id_28488973,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.514388106855522,59.68141610510808]}"
511,"59.81012, 10.47476",59.81012,10.47476,id_28498280,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.474758098464099,59.81011720595226]}"
0,"59.51653, 10.5745",59.51653,10.5745,id_28593315,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.574504787138517,59.516527332542815]}"
413,"59.58318, 10.54344",59.58318,10.54344,id_28598403,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.543440116793663,59.58318079377809]}"
148,"59.71143, 10.49708",59.71143,10.49708,id_28784099,Asker_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.497078565022095,59.711432246642374]}"
197,"59.64841, 10.55673",59.64841,10.55673,id_28832970,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.55672667927702,59.648408199648436]}"
175,"59.79464, 10.54785",59.79464,10.54785,id_28855198,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.547853854604806,59.794638243715205]}"
534,"59.86602, 10.51099",59.86602,10.51099,id_29005857,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.510986298838633,59.86601717520905]}"
542,"59.69778, 10.51264",59.69778,10.51264,id_29557001,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.512639399289217,59.69778210058416]}"
170,"59.53401, 10.43651",59.53401,10.43651,id_29782905,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.436506892110419,59.53401249216083]}"
349,"59.72349, 10.39732",59.72349,10.39732,id_29823932,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.397321520521134,59.72348847684185]}"
128,"59.8808, 10.3748",59.8808,10.3748,id_30015310,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.374796779653964,59.880800552542965]}"
168,"59.79653, 10.39503",59.79653,10.39503,id_30031416,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.395029375730761,59.79652758176625]}"
